
Project:     EXP18_Haarlem_02_RTK_Ijmu_kadaster
Program:     Inertial Explorer Version 8.70.6404
Profile:     David_Format_ECEF_Velocity
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\ESA\EXP Field Test Campaign 2018\EXP18_Haarlem_02\Inertial Explorer\EXP18_Haarlem_02_RTK_Ijmu_kadaster.cts
ProcessInfo: EXP18_Haarlem_02_RTK_Ijmu_kadaster by Unknown on 10/3/2018 at 17:04:48

Datum:       WGS84
Master 1:    Name IJMU, Status ENABLED
             Antenna height 0.000 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 52 27 43.12746, 4 33 21.81838, 55.502 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [NAX3G+C(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.183, y=1.447, z=1.851 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=0.183, y=1.447, z=1.851 m (x-right, y-fwd, z-up, IMU->SENSOR)

      Week,  GPSTime,      X-ECEF,      Y-ECEF,      Z-ECEF,  VX-ECEF,  VY-ECEF,  VZ-ECEF
   (weeks),    (sec),         (m),         (m),         (m),    (m/s),    (m/s),    (m/s)
      2018, 299617.0, 3904165.192,  301791.522, 5017768.678,   -0.000,    0.001,    0.001
      2018, 299618.0, 3904165.192,  301791.522, 5017768.678,    0.001,    0.001,    0.000
      2018, 299619.0, 3904165.193,  301791.522, 5017768.678,    0.002,    0.004,    0.002
      2018, 299620.0, 3904165.193,  301791.522, 5017768.678,   -0.001,    0.001,    0.001
      2018, 299621.0, 3904165.193,  301791.522, 5017768.678,    0.001,    0.001,   -0.000
      2018, 299622.0, 3904165.193,  301791.522, 5017768.678,    0.000,    0.002,    0.001
      2018, 299623.0, 3904165.193,  301791.522, 5017768.678,    0.002,    0.002,    0.001
      2018, 299624.0, 3904165.193,  301791.522, 5017768.678,    0.001,    0.001,    0.000
      2018, 299625.0, 3904165.193,  301791.522, 5017768.678,    0.003,   -0.000,   -0.001
      2018, 299626.0, 3904165.193,  301791.522, 5017768.678,    0.001,    0.000,   -0.000
      2018, 299627.0, 3904165.192,  301791.522, 5017768.678,    0.000,    0.001,   -0.001
      2018, 299628.0, 3904165.192,  301791.522, 5017768.678,    0.000,   -0.000,   -0.001
      2018, 299629.0, 3904165.192,  301791.522, 5017768.678,    0.000,    0.001,    0.000
      2018, 299630.0, 3904165.192,  301791.522, 5017768.678,    0.003,   -0.000,   -0.001
      2018, 299631.0, 3904165.192,  301791.522, 5017768.678,    0.001,    0.001,   -0.000
      2018, 299632.0, 3904165.192,  301791.522, 5017768.678,   -0.001,    0.001,    0.000
      2018, 299633.0, 3904165.193,  301791.522, 5017768.677,    0.000,   -0.001,   -0.001
      2018, 299634.0, 3904165.193,  301791.522, 5017768.677,    0.001,   -0.000,   -0.001
      2018, 299635.0, 3904165.192,  301791.522, 5017768.678,   -0.000,   -0.002,   -0.001
      2018, 299636.0, 3904165.192,  301791.522, 5017768.678,   -0.000,    0.000,    0.000
      2018, 299637.0, 3904165.193,  301791.522, 5017768.677,   -0.001,    0.000,    0.000
      2018, 299638.0, 3904165.193,  301791.522, 5017768.677,    0.002,   -0.000,   -0.000
      2018, 299639.0, 3904165.193,  301791.522, 5017768.678,   -0.005,   -0.002,    0.001
      2018, 299640.0, 3904165.193,  301791.522, 5017768.678,    0.002,   -0.003,   -0.002
      2018, 299641.0, 3904165.193,  301791.522, 5017768.677,   -0.000,   -0.001,    0.000
      2018, 299642.0, 3904165.193,  301791.522, 5017768.678,   -0.007,    0.002,    0.003
      2018, 299643.0, 3904165.193,  301791.522, 5017768.677,    0.003,   -0.002,   -0.001
      2018, 299644.0, 3904165.193,  301791.522, 5017768.678,    0.001,    0.000,   -0.000
      2018, 299645.0, 3904165.193,  301791.522, 5017768.677,    0.001,    0.000,   -0.001
      2018, 299646.0, 3904165.193,  301791.521, 5017768.677,    0.003,   -0.003,   -0.002
      2018, 299647.0, 3904165.193,  301791.521, 5017768.677,   -0.001,    0.000,   -0.000
      2018, 299648.0, 3904165.193,  301791.521, 5017768.677,   -0.000,    0.001,    0.001
      2018, 299649.0, 3904165.193,  301791.522, 5017768.677,   -0.002,   -0.000,    0.001
      2018, 299650.0, 3904165.192,  301791.522, 5017768.678,    0.001,   -0.001,   -0.000
      2018, 299651.0, 3904165.193,  301791.522, 5017768.678,   -0.001,    0.001,    0.001
      2018, 299652.0, 3904165.193,  301791.522, 5017768.678,   -0.000,    0.000,    0.000
      2018, 299653.0, 3904165.192,  301791.522, 5017768.678,   -0.004,   -0.001,    0.002
      2018, 299654.0, 3904165.193,  301791.522, 5017768.678,   -0.002,    0.000,    0.001
      2018, 299655.0, 3904165.193,  301791.522, 5017768.677,   -0.002,   -0.000,    0.002
      2018, 299656.0, 3904165.193,  301791.522, 5017768.678,   -0.002,    0.000,    0.001
      2018, 299657.0, 3904165.193,  301791.522, 5017768.677,   -0.001,   -0.000,    0.001
      2018, 299658.0, 3904165.193,  301791.522, 5017768.678,    0.000,   -0.001,   -0.000
      2018, 299659.0, 3904165.193,  301791.522, 5017768.677,    0.004,   -0.003,   -0.002
      2018, 299660.0, 3904165.193,  301791.522, 5017768.677,    0.001,    0.001,    0.001
      2018, 299661.0, 3904165.193,  301791.522, 5017768.677,   -0.001,    0.000,    0.001
