
Project:     EXP18-02_ReferenceTrajectory_3GCCAntenna
Program:     Inertial Explorer Version 8.70.6404
Profile:     RF_VelcityData
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\Danilo\Desktop\EXP18-02\Reference_Trajectory\EXP18-02_ReferenceTrajectory_3GCCAntenna.cts
ProcessInfo: EXP18-02_ReferenceTrajectory_3GCCAntenna by Unknown on 7/31/2018 at 13:01:53

Datum:       WGS84
Master 1:    Name RDAM, Status ENABLED
             Antenna height 0.000 m, to L1PC [TPSCR.G3(TPSH)]
             Lat, Lon, El Hgt 51 57 10.05347, 4 33 33.43064, 82.876 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [NAX3G+C(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.183, y=1.447, z=1.851 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=0.183, y=1.447, z=1.851 m (x-right, y-fwd, z-up, IMU->SENSOR)

      Week,  GPSTime,      X-ECEF,      Y-ECEF,      Z-ECEF,  VX-ECEF,  VY-ECEF,  VZ-ECEF
   (weeks),    (sec),         (m),         (m),         (m),    (m/s),    (m/s),    (m/s)
      2011, 389933.0, 3929386.284,  305267.957, 4997957.882,   -0.001,    0.001,    0.000
      2011, 389934.0, 3929386.284,  305267.957, 4997957.882,   -0.001,   -0.000,    0.002
      2011, 389935.0, 3929386.284,  305267.957, 4997957.882,   -0.000,    0.001,   -0.000
      2011, 389936.0, 3929386.284,  305267.957, 4997957.882,    0.000,    0.004,    0.000
      2011, 389937.0, 3929386.284,  305267.957, 4997957.882,    0.000,    0.001,   -0.001
      2011, 389938.0, 3929386.284,  305267.957, 4997957.882,    0.000,    0.001,    0.000
      2011, 389939.0, 3929386.284,  305267.957, 4997957.882,    0.001,    0.001,   -0.002
      2011, 389940.0, 3929386.284,  305267.957, 4997957.882,    0.001,    0.003,   -0.000
      2011, 389941.0, 3929386.284,  305267.957, 4997957.882,    0.000,    0.002,   -0.000
      2011, 389942.0, 3929386.284,  305267.957, 4997957.882,   -0.000,   -0.001,    0.000
      2011, 389943.0, 3929386.284,  305267.957, 4997957.882,    0.000,   -0.001,   -0.001
      2011, 389944.0, 3929386.284,  305267.957, 4997957.882,    0.000,   -0.000,    0.001
      2011, 389945.0, 3929386.284,  305267.957, 4997957.882,    0.001,    0.002,   -0.000
      2011, 389946.0, 3929386.284,  305267.957, 4997957.882,    0.000,   -0.002,   -0.000
      2011, 389947.0, 3929386.284,  305267.957, 4997957.882,    0.000,   -0.003,    0.001
      2011, 389948.0, 3929386.284,  305267.957, 4997957.882,    0.002,    0.002,   -0.000
      2011, 389949.0, 3929386.284,  305267.957, 4997957.882,    0.001,   -0.002,   -0.001
      2011, 389950.0, 3929386.284,  305267.957, 4997957.882,    0.001,   -0.003,    0.000
      2011, 389951.0, 3929386.284,  305267.957, 4997957.882,    0.002,    0.002,   -0.001
      2011, 389952.0, 3929386.283,  305267.957, 4997957.882,    0.001,   -0.004,   -0.002
      2011, 389953.0, 3929386.284,  305267.957, 4997957.882,    0.000,   -0.001,    0.001
      2011, 389954.0, 3929386.284,  305267.957, 4997957.882,    0.000,    0.001,    0.001
      2011, 389955.0, 3929386.283,  305267.957, 4997957.882,    0.001,   -0.000,   -0.000
      2011, 389956.0, 3929386.285,  305267.959, 4997957.881,    0.004,   -0.003,   -0.001
      2011, 389957.0, 3929386.284,  305267.957, 4997957.881,    0.004,    0.008,    0.001
      2011, 389958.0, 3929386.284,  305267.957, 4997957.881,    0.001,   -0.002,   -0.002
      2011, 389959.0, 3929386.284,  305267.958, 4997957.880,   -0.015,   -0.016,    0.007
      2011, 389960.0, 3929386.285,  305267.957, 4997957.879,    0.004,    0.009,   -0.002
      2011, 389961.0, 3929386.285,  305267.958, 4997957.879,   -0.002,   -0.005,   -0.001
